k,accuracy
1,0.9803921568627451
2,0.9215686274509803
3,0.9607843137254902
4,0.9803921568627451
5,0.9607843137254902
6,0.9607843137254902
7,1.0
8,0.9411764705882353
9,1.0
10,1.0
11,0.9803921568627451
12,0.9803921568627451
13,0.9607843137254902
14,0.9803921568627451
15,0.9607843137254902
16,0.9411764705882353
17,0.9411764705882353
18,0.9411764705882353
19,0.9607843137254902
20,0.9411764705882353
21,0.9411764705882353
22,0.9411764705882353
23,0.9411764705882353
24,0.9411764705882353
25,0.9411764705882353
26,0.9607843137254902
27,0.9411764705882353
28,0.9607843137254902
29,0.9607843137254902
30,0.9607843137254902
31,0.9607843137254902
32,0.9607843137254902
33,0.9607843137254902
34,0.9607843137254902
35,0.9411764705882353
36,0.9607843137254902
37,0.9607843137254902
38,0.9411764705882353
39,0.9607843137254902
40,0.9411764705882353
41,0.9607843137254902
42,0.9607843137254902
43,0.9607843137254902
44,0.9411764705882353
45,0.9411764705882353
46,0.9215686274509803
47,0.9215686274509803
48,0.9411764705882353
49,0.9411764705882353
50,0.9411764705882353
